1;0-4;41.876;7.582;9.581;3.309;5.917;15.487
2;5-9;50.509;8.890;11.507;4.008;7.188;18.916
3;10-14;54.871;9.809;12.626;4.434;7.557;20.445
4;15-19;51.475;9.859;11.891;4.672;6.908;18.145
5;20-24;51.596;10.139;12.928;5.010;6.285;17.234
6;25-29;53.520;10.496;13.531;5.150;6.487;17.856
7;30-34;59.118;11.081;14.372;5.339;7.663;20.663
8;35-39;70.161;12.551;16.006;5.878;9.944;25.782
9;40-44;81.049;14.899;18.210;6.696;11.880;29.364
10;45-49;79.124;15.015;18.554;6.978;10.919;27.658
11;50-54;77.905;15.454;19.180;7.565;9.863;25.843
12;55-59;73.058;14.664;18.795;7.550;8.662;23.387
13;60-64;60.595;11.871;15.767;5.984;7.094;19.879
14;65-69;48.379;9.507;12.644;4.947;5.514;15.767
15;70-74;45.007;8.759;12.226;4.649;4.584;14.789
16;75-79;40.368;8.158;10.756;4.945;3.731;12.778
17;80-84;33.642;6.598;9.152;4.201;3.279;10.412
18;85-89;29.520;5.497;7.776;3.828;3.165;9.254
19;90-94;14.734;2.565;3.570;1.911;1.838;4.850
20;95-99;3.930;630;900;499;574;1.327
21;100 y más;572;101;140;76;77;178
